2023-11-13T00:40:52.451-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.455-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.500-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.367-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.487-03:00  INFO 17044 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-11-13T00:44:18.460-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.494-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.496-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.529-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.530-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.564-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.566-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.599-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.603-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.635-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.637-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.670-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.671-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.705-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.707-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.741-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.742-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.775-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.777-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.810-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.812-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.846-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.847-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.880-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.884-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.916-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.918-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.951-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.953-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:18.986-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:18.988-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:19.021-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:19.023-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:19.057-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:19.059-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:19.090-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
